sex,Age,BP_Percentile,Type,height_percentile,bp_value
M,15,95th,Diastolic,50th,83
M,16,50th,Systolic,50th,115
M,16,50th,Diastolic,50th,67
M,16,90th,Systolic,50th,129
M,16,90th,Diastolic,50th,80
M,16,95th,Systolic,50th,134
M,16,95th,Diastolic,50th,84
M,17,50th,Systolic,50th,117
M,17,50th,Diastolic,50th,68
M,17,90th,Systolic,50th,131
M,17,90th,Diastolic,50th,81
M,17,95th,Systolic,50th,135
M,17,95th,Diastolic,50th,85
F,1,50th,Systolic,50th,86
F,1,50th,Diastolic,50th,43
F,1,90th,Systolic,50th,100
F,1,90th,Diastolic,50th,56
F,1,95th,Systolic,50th,103
F,1,95th,Diastolic,50th,60
F,2,50th,Systolic,50th,89
F,2,50th,Diastolic,50th,48
F,2,90th,Systolic,50th,103
F,2,90th,Diastolic,50th,60
F,2,95th,Systolic,50th,106
F,2,95th,Diastolic,50th,64
F,3,50th,Systolic,50th,90
F,3,50th,Diastolic,50th,50
F,3,90th,Systolic,50th,104
F,3,90th,Diastolic,50th,62
F,3,95th,Systolic,50th,108
F,3,95th,Diastolic,50th,66
F,4,50th,Systolic,50th,92
F,4,50th,Diastolic,50th,53
F,4,90th,Systolic,50th,106
F,4,90th,Diastolic,50th,65
F,4,95th,Systolic,50th,109
F,4,95th,Diastolic,50th,69
F,5,50th,Systolic,50th,93
F,5,50th,Diastolic,50th,55
F,5,90th,Systolic,50th,107
F,5,90th,Diastolic,50th,67
F,5,95th,Systolic,50th,110
F,5,95th,Diastolic,50th,71
F,6,50th,Systolic,50th,94
F,6,50th,Diastolic,50th,56
F,6,90th,Systolic,50th,108
F,6,90th,Diastolic,50th,69
F,6,95th,Systolic,50th,111
F,6,95th,Diastolic,50th,72
F,7,50th,Systolic,50th,95
F,7,50th,Diastolic,50th,57
F,7,90th,Systolic,50th,109
F,7,90th,Diastolic,50th,70
F,7,95th,Systolic,50th,112
F,7,95th,Diastolic,50th,73
F,8,50th,Systolic,50th,97
F,8,50th,Diastolic,50th,59
F,8,90th,Systolic,50th,110
F,8,90th,Diastolic,50th,72
F,8,95th,Systolic,50th,113
F,8,95th,Diastolic,50th,74
F,9,50th,Systolic,50th,98
F,9,50th,Diastolic,50th,60
F,9,90th,Systolic,50th,111
F,9,90th,Diastolic,50th,73
F,9,95th,Systolic,50th,114
F,9,95th,Diastolic,50th,75
F,10,50th,Systolic,50th,99
F,10,50th,Diastolic,50th,60
F,10,90th,Systolic,50th,112
F,10,90th,Diastolic,50th,73
F,10,95th,Systolic,50th,116
F,10,95th,Diastolic,50th,76
F,11,50th,Systolic,50th,102
F,11,50th,Diastolic,50th,61
F,11,90th,Systolic,50th,114
F,11,90th,Diastolic,50th,74
F,11,95th,Systolic,50th,118
F,11,95th,Diastolic,50th,77
F,12,50th,Systolic,50th,105
F,12,50th,Diastolic,50th,62
F,12,90th,Systolic,50th,118
F,12,90th,Diastolic,50th,75
F,12,95th,Systolic,50th,122
F,12,95th,Diastolic,50th,78
F,13,50th,Systolic,50th,107
F,13,50th,Diastolic,50th,64
F,13,90th,Systolic,50th,121
F,13,90th,Diastolic,50th,76
F,13,95th,Systolic,50th,124
F,13,95th,Diastolic,50th,79
